1,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,The time spent using a computer is out of proportion to the benefits,,
2,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Nursing data does not lend itself to computers,,
3,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computerization of nursing data offers nurses a remarkable opportunity to improve patient care,,
4,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers allow the nurse more time for the professional tasks for which he/she is trained,,
5,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers cause nurses to give less time to quality patient care,,
6,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Paperwork for nurses has been greatly reduced by the use of computers,,
7,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Increased computer usage will allow nurses more time to give patient care,,
8,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers cause a decrease in communication between hospital departments,,
9,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,"Only one person at a time can use a computer terminal and therefore, staff efficiency is inhibited",,
10,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers save steps and allow the nursing staff to become more efficient,,
11,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers make nurses' jobs easier,,
12,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,A computer increases costs by increasing the nurses' workload,,
13,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Part of the increase in costs of health care is because of computers,,
14,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,"Orientation for new employees takes longer because of computers, and, therefore, unnecessary work delays occur",,
15,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,"Because of computers, nurses will face more lawsuits",,
16,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers represent a violation of patient privacy,,
17,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers contain too much personal patient data to be used in an area as open as a nursing station,,
18,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,"The more computers in an institution, the less number of jobs for employees.",,
19,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,"If I had my way, nurses would not ever have to use computers",,
20,NATC (Nurses' Attitudes Toward Computers),Stronge,1985,N/A,Computers should only be used in the financial department,,
21,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is it easy to correct the errors?,,
22,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Does the system provide out-of-date information?,,
23,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you find the information up-to-date?,,
24,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you thing the reports you receive are somewhat out-of-date?,,
25,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Does the information you receive require correction?,,
26,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Does the system provide too much information?,,
27,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Are the reports complete?,,
28,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Does the system provide comprehensive information?,,
29,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Would you like more concise output?,,
30,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you trust the information provided by the system?,,
31,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you think the system is reliable?,,
32,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you get information fast enough?,,
33,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Would you like the system to be modified or redesigned?,,
34,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Would you like the format modified?,,
35,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system flexible?,,
36,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system difficult to operate?,,
37,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system troublesome?,,
38,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system difficult to interact with?,,
39,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Do you enjoy using the system?,,
40,EUCSI (End-User Computing Satisfaction Instrument),Doll,1988,(Eliminated),Is the system successful?,,
